buggy_AG,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,1,1,2,0,0,0,0.5,0,1,7.68,1,252,148.13,19
clean,clean,1,2,2,0,0,0,0.5,0,2,7.68,1.5,253,149.13,20
buggy,buggy,1,1,1,0,10,0,58,0,4,116.16,9,44,31.54,9
clean,clean,5,17,17,2.00977,91,59,143.18,0,23,46.99,16.76,117,97.97,15
clean,clean,3,8,8,0.294615,77,0,225.25,0,22,92.1,33.75,118,98.95,14
buggy,buggy,1,3,3,1.58348,5,49,129.67,0,8,21.04,12.67,777,412.42,55
clean,clean,1,1,4,1.06128,8,0,0,0,0,0,0,778,413.41,0
clean,clean,1,1,1,0,0,14,174,0,8,0,29,779,414.41,56
clean,clean,2,2,2,0.992267,0,29,115.5,0,8,8.24,9.5,780,415.41,405
buggy,buggy,1,1,1,0,1,2,1803,0,22,0.02,265,781,416.41,171
clean,clean,3,3,3,1.01915,46,30,660,0,22,0.03,91,782,417.39,231
clean,clean,1,1,1,0,0,3,82,0,2,0,2,783,418.39,2
clean,clean,1,1,1,0,18,0,302,0,6,1.16,17,226,98.53,189
clean,clean,3,11,11,1.94461,86,55,167,0,18,83.22,19.27,119,99.92,17
clean,clean,0,0,0,0,0,0,0,0,0,0,0,120,100.92,0
clean,clean,3,16,20,2.79362,20,1024,216.85,0,22,75.79,18.75,784,419.33,316
buggy,buggy,1,1,1,0,0,386,386,0,5,27.94,5,254,149.96,57
buggy,buggy,2,2,2,1,4,0,156,0,12,10.81,35.5,785,420.31,401
buggy,buggy,2,2,2,0.932112,13,10,775,0,19,0.24,100,786,421.16,233
buggy,buggy,1,1,1,0,0,7,1445,0,18,0,194,787,422.16,175
clean,clean,1,1,1,0,0,6,1438,0,18,0,195,788,423.16,176
clean,clean,1,1,1,0,0,6,1820,0,22,0.23,268,789,424.16,177
clean,clean,1,1,1,0,36,0,74,0,1,0.25,1,790,425.15,3
clean,clean,1,1,1,0,36,0,79,0,2,0.33,3,791,426.15,4
clean,clean,1,1,1,0,18,2,1814,0,22,0.01,269,792,427.14,178
clean,clean,1,1,1,0,17,0,1830,0,22,0.01,270,793,428.14,179
clean,clean,1,3,6,1.74851,624,0,0,0,0,0,0,794,429.13,19
clean,clean,1,5,5,2.24644,10,10,68.8,0,3,40.67,0.6,795,430.13,20
clean,clean,1,1,1,0,9,5,1432,0,18,0.04,196,796,431.12,180
clean,clean,1,2,4,2,812,0,0,0,0,0,0,797,432.11,350
buggy,buggy,1,1,2,0.163551,208,0,0,0,0,0,0,798,433.11,116
buggy,buggy,1,1,2,0.292322,214,0,0,0,0,0,0,799,434.11,60
buggy,buggy,1,1,1,0,16,1,100,0,4,0.38,11,800,435.11,61
clean,clean,1,3,3,0.187871,209,0,5.33,0,4,27.57,1.33,801,436.1,62
clean,clean,1,6,10,2.2258,838,2,16.7,0,6,12.75,1,802,437.09,53
clean,clean,1,1,1,0,16,9,759,0,12,7.56,119,85,57.31,67
clean,clean,1,1,1,0,4,1,1046,0,13,7.68,145,86,58.31,68
clean,clean,1,1,1,0,2,2,766,0,13,0.06,120,87,59.31,69
clean,clean,1,1,1,0,4,4,1436,0,18,0.42,197,803,437.79,181
clean,clean,1,6,8,2.00918,0,1921,240.13,0,10,192.79,3.5,804,438.78,54
clean,clean,1,6,8,2.00918,0,1921,240.13,0,10,192.79,3.5,805,439.78,55
clean,clean,1,1,1,0,0,14,1436,0,18,0.04,198,806,440.76,182
clean,clean,3,13,16,3.58852,54,39,234.75,1,24,57.59,24.06,1663,710.73,1562
clean,clean,1,7,12,3.08742,125,38,150.25,0,4,10.77,2.67,227,99.42,190
buggy,buggy,2,14,21,3.31372,271,137,345.62,0,21,28.89,17.29,1664,711.72,1490
buggy,buggy,1,1,1,0,9,4,232,0,8,2.06,23,807,441.7,28
clean,clean,1,21,43,4.83933,0,2672,62.14,0,7,98.61,0.63,808,442.69,63
clean,clean,1,1,1,0,0,1,51,0,6,102.55,14,809,443.68,64
clean,clean,1,3,4,1.47189,0,171,42.75,0,6,166.6,2.75,810,444.68,65
clean,clean,1,3,4,1.47189,0,171,42.75,0,6,166.63,2.75,811,445.66,66
clean,clean,1,21,42,4.80962,0,2477,60.17,0,7,111.23,0.69,812,446.65,67
buggy,buggy,1,1,1,0,6,1,779,1,13,0.07,122,1665,712.65,1314
clean,clean,1,3,3,1.30076,57,37,408,1,16,94.39,35,813,447.64,351
clean,clean,1,1,1,0,9,0,64,0,1,42.24,1,199,82.42,111
clean,clean,1,1,3,0.239613,209,1,20.67,0,3,16.5,4.33,121,101.68,76
clean,clean,6,15,15,1.57341,155,243,234.8,0,22,40.33,21.6,46,38.54,61
clean,clean,1,34,71,5.22493,6676,57,16.34,0,5,3.06,0.7,122,102.66,77
clean,clean,1,1,1,0,2,2,320,0,2,8.07,9,228,100.37,191
clean,clean,1,1,1,0,2,2,320,0,3,0.01,10,229,101.37,192
clean,clean,1,8,15,2.89185,348,24,173.2,0,12,24.58,6.73,230,102.37,193
clean,clean,1,2,5,2.13617,0,261,52.2,0,1,0.36,0.2,231,103.32,194
buggy,buggy,1,1,1,0,1,1,117,0,1,0.4,2,123,103.56,78
clean,clean,1,3,3,1.35458,20,11,262.33,0,3,14.61,1,40,32.8,16
clean,clean,1,1,1,0,10,7,619,1,3,2.94,21,53,39.39,12
buggy,buggy,4,5,7,2.27703,4,166,1088.29,0,11,59.03,6.14,814,447.92,681
buggy,buggy,2,3,3,1.07277,41,10,703.33,0,22,8.83,93.33,1666,712.7,253
clean,clean,3,3,3,1.53331,12,27,698,0,22,28.31,95,1667,713.67,1570
buggy,buggy,1,1,1,0,1,1,1834,0,22,0.06,275,41,33.77,9
clean,clean,1,11,38,3.53673,1411,541,225.16,0,18,45.46,8.87,1668,714.6,1316
clean,clean,1,1,1,0,192,177,1834,0,22,0.06,276,815,448.74,184
clean,clean,1,6,10,2.75325,0,535,53.5,0,9,190.85,3.3,816,449.72,68
clean,clean,1,1,1,0,0,1,50,0,6,1.16,15,817,450.72,69
clean,clean,1,7,11,2.77474,0,544,53.91,0,10,176.65,3.45,818,451.72,70
clean,clean,2,2,2,0.998846,12,13,158,0,12,1.96,36,819,452.71,409
buggy,buggy,2,8,11,1.81313,411,239,182.36,0,9,5.62,4.09,134,96.02,123
clean,clean,1,4,4,0.930422,107,50,508.5,0,13,1,31.25,232,104.17,195
clean,clean,1,1,1,0,8,1,132,0,6,3.98,11,1669,714.79,1317
clean,clean,1,3,5,1.70693,571,153,340.6,0,7,5.94,6,1670,715.77,1318
buggy,buggy,1,2,2,0.53636,46,3,224,0,3,73.35,17,820,453.02,118
clean,clean,2,3,3,1.16578,6,15,558.33,0,18,68.99,70.67,821,453.97,539
clean,clean,2,4,5,2.03859,123,41,390.2,1,8,70.62,11.8,259,96.69,165
clean,clean,2,2,2,0.242292,2,23,181,0,11,7.92,17.5,260,97.67,167
clean,clean,0,0,0,0,0,0,0,0,0,0,0,822,454.8,0
clean,clean,0,0,0,0,0,0,0,0,0,0,0,823,455.8,0
clean,clean,0,0,0,0,0,0,0,0,0,0,0,825,457.79,0
clean,clean,0,0,0,0,0,0,0,0,0,0,0,826,458.79,0
clean,clean,0,0,0,0,0,0,0,0,0,0,0,827,459.79,0
clean,clean,1,2,6,2.58496,6,6,89.33,0,6,105.92,1.5,828,460.79,71
buggy,buggy,1,3,6,2.58496,6,6,69.17,0,5,123.71,1,829,461.78,119
clean,clean,1,7,7,2.80735,7,7,44.14,0,8,79.42,2.29,830,462.78,58
clean,clean,1,5,5,2.32193,5,5,124.8,0,4,28.97,1.8,831,463.78,356
clean,clean,1,1,1,0,0,387,387,0,4,119.89,6,832,464.78,0
clean,clean,1,3,6,2.58496,6,6,69.33,0,4,135.61,1.17,833,465.74,120
clean,clean,1,6,11,3.45943,11,11,30.91,0,1,13.92,0.09,834,466.73,30
clean,clean,1,1,35,5.12786,1663,1663,47.51,0,1,56.82,0.06,835,467.73,29
clean,clean,0,0,0,0,0,0,0,0,0,0,0,836,468.73,0
clean,clean,1,34,38,2.46197,622,622,60.11,0,11,48.84,1.16,837,469.73,59
clean,clean,1,2,6,2.58496,6,6,89.33,0,6,105.99,1.5,838,470.72,72
clean,clean,0,0,0,0,0,0,0,0,0,0,0,839,471.72,0
clean,clean,1,2,7,2.6175,7,32,83.14,0,8,6.56,5.14,840,472.67,357
clean,clean,5,8,11,2.21385,175,75,944.55,0,25,13.53,31.09,841,473.64,709
clean,clean,1,3,5,1.67939,219,26,186.4,1,15,17.39,30.4,233,105.02,196
clean,clean,1,2,7,2.6175,7,32,83.14,0,8,6.98,5.14,54,40.22,13
clean,clean,1,1,1,0,4,1,844,1,3,1.76,9,234,106,197
clean,clean,1,1,1,0,8,6,525,0,12,0.12,107,235,107,198
clean,clean,1,1,1,0,181,0,0,0,0,0,0,842,474.09,359
clean,clean,1,1,1,0,88,0,0,0,0,0,0,843,475.08,360
clean,clean,1,1,1,0,1,3,88,0,1,0,1,844,476.08,361
clean,clean,1,1,1,0,7,21,181,0,1,0.01,1,845,477.08,362
clean,clean,1,1,1,0,1,1,167,0,1,0,2,846,478.08,363
clean,clean,3,5,8,1.47503,32,193,336.25,0,22,38.81,35.75,261,98.56,184
clean,clean,3,6,15,2.61651,419,296,324.33,0,19,51.56,10.47,1671,715.45,1612
clean,clean,1,1,1,0,2,2,86,0,1,0.22,2,1672,716.44,1320
clean,clean,1,1,1,0,5,0,129,0,4,1,8,1673,717.38,181
clean,clean,1,1,1,0,3,3,86,0,2,0.67,3,1674,717.77,1321
clean,clean,1,3,3,0.865857,11,0,105.33,0,8,41.11,13.67,1675,718.44,182
clean,clean,1,2,2,0.961237,9,4,148,0,7,2.58,10,1676,719.44,183
clean,clean,1,4,5,2.0126,20,1,661.4,0,11,91.3,28,1677,720.36,1322
clean,clean,1,1,1,0,11,0,177,0,7,4.67,29,55,41.06,18
clean,clean,1,1,1,0,1,0,105,0,10,108.43,19,166,107.37,81
clean,clean,1,1,1,0,1,0,105,0,10,108.43,19,167,108.37,82
clean,clean,2,4,4,1.65002,10,2,118.25,0,7,50.47,8.75,1678,720.86,298
clean,clean,1,1,1,0,1,1,651,0,11,1.6,46,1679,721.85,1323
buggy,buggy,1,1,1,0,40,17,120,0,5,108.61,10,1680,722.83,1324
clean,clean,1,1,1,0,11,5,146,0,7,108.69,15,1681,723.75,1325
clean,clean,1,4,4,1.32489,31,17,399.25,1,13,75.18,21.25,168,109.32,83
clean,clean,1,2,8,2.60411,54,14,79,1,8,15.85,5.13,169,110.32,84
clean,clean,1,3,3,0.727603,10,138,347,0,15,2.2,51,236,107.67,199
clean,clean,2,4,6,1.57974,649,3,63.5,0,8,19.53,7.67,1682,724.62,1441
clean,clean,1,1,1,0,5,1,240,1,8,108.85,25,1683,725.59,1327
clean,clean,1,2,8,2.60411,54,14,79,1,9,15.68,5.13,170,111.28,85
clean,clean,1,4,5,1.22871,48,16,157,0,13,23.41,23.4,237,108.62,200
clean,clean,1,1,1,0,11,7,1881,0,22,2.18,279,171,112.24,25
clean,clean,1,4,8,2.34176,186,14,289.13,0,9,4.85,2.5,1684,726.32,1328
clean,clean,1,1,1,0,40,17,120,0,5,109.12,10,1685,727.31,1329
clean,clean,1,1,1,0,11,5,145,0,7,16.98,18,1686,728.31,1330
clean,clean,1,9,14,3.04098,386,259,446.07,0,18,4.29,18.43,1687,729.28,1331
clean,clean,2,4,4,1.58304,31,3,577.25,1,16,43.65,59,262,99.24,171
clean,clean,2,4,4,1.95755,19,13,103.25,0,8,22.4,10.25,1688,729.83,1517
clean,clean,1,1,1,0,0,1,845,0,13,0.44,125,1689,730.82,1333
buggy,buggy,3,5,5,2.19958,5,10,192,0,14,10.41,21.4,0,0,0
clean,clean,2,2,2,0.970951,3,2,1072,0,23,3.4,157,1690,731.61,1411
clean,clean,1,3,4,1.97174,541,97,350.75,0,6,1.51,5.25,1691,732.61,1335
clean,clean,1,1,1,0,5,0,177,0,3,12.69,6,1,1,1
clean,clean,1,2,2,0.997891,38,36,549,1,15,109.96,48,847,476.21,364
buggy,buggy,1,1,1,0,6,41,374,0,14,0,77,848,477.21,365
clean,clean,1,1,1,0,7,50,387,0,14,6.17,77,849,478.21,366
clean,clean,1,1,1,0,23,6,247,1,5,110,9,172,113.04,86
clean,clean,1,1,1,0,23,6,247,1,5,110,9,173,114.04,87
clean,clean,1,3,3,1.04007,82,7,85,0,3,9.53,3,2,2,1
clean,clean,1,1,1,0,4,4,1081,0,13,0.86,148,263,100.13,152
clean,clean,1,1,1,0,49,0,1885,0,22,0.8,281,238,109.38,5
clean,clean,1,1,1,0,1,1,102,0,3,118.83,5,174,114.89,23
clean,clean,1,1,1,0,1,1,110,0,3,29.67,5,175,115.89,24
buggy,buggy,1,8,9,2.29923,191,64,424.89,0,19,2.59,19.78,1692,732.66,1336
clean,clean,1,1,1,0,0,28,239,0,7,6.73,27,1693,733.64,116
clean,clean,1,3,3,1.58354,18,14,129.33,0,3,7.02,3,3,2.99,2
clean,clean,1,1,1,0,1,0,52,0,1,15.04,2,239,110.35,201
buggy,buggy,1,1,1,0,3,3,412,0,2,6.95,3,4,3.99,3
clean,clean,2,4,4,0.197714,250,1,84.25,0,16,14.41,20.25,45,31.95,37
clean,clean,3,14,21,3.37447,465,245,377.62,1,24,6.07,27.19,1694,733.74,1601
clean,clean,1,1,1,0,5,0,110,0,5,95.46,15,56,41.78,19
buggy,buggy,1,1,1,0,1,1,188,0,8,3.32,30,57,42.77,20
clean,clean,1,6,10,2.50897,63,28,388.8,0,16,24.08,17.5,1695,734.54,1338
clean,clean,1,1,1,0,7,0,233,0,2,2.71,5,1696,735.46,1339
buggy,buggy,1,1,1,0,0,7,360,0,2,21.7,11,850,477.44,30
clean,clean,2,4,4,1.75272,16,2,153.75,0,13,6.56,12.5,47,38.82,15
buggy,buggy,1,2,2,0.59388,78,89,692,0,5,0.22,9.5,1697,736.31,1340
clean,clean,1,5,5,2.13704,9,116,127,0,10,28.77,8.4,48,39.78,34
buggy,buggy,1,1,1,0,3,3,455,0,5,2.64,13,1698,736.85,1341
clean,clean,1,2,2,0.086761,136,139,628,0,6,1.49,9.5,1699,737.67,1342
clean,clean,1,1,1,0,4,4,1934,0,22,1.08,283,46,32.87,11
clean,clean,1,1,1,0,2,12,376,0,5,1.96,15,1700,738.61,1343
clean,clean,1,1,1,0,14,8,357,0,3,3.56,7,200,82.35,112
buggy,buggy,1,2,3,1.15495,57,14,539.67,0,6,0.09,8,1701,739.56,1344
clean,clean,1,1,2,0.970951,18,2,83,0,2,18.03,1.5,5,4.96,4
buggy,buggy,1,1,1,0,2,2,1934,0,22,0.26,284,837,308.81,89
clean,clean,1,1,3,1.4576,107,79,396,0,2,2.54,2.67,1702,740.26,1345
clean,clean,1,2,5,1.68585,353,121,291.2,0,3,0.59,2.8,1703,740.78,1346
clean,clean,1,1,1,0,7,7,209,0,8,46.37,22,838,309.58,54
clean,clean,1,1,1,0,5,5,207,0,7,113.54,17,176,116.25,88
clean,clean,1,1,1,0,9,7,332,0,1,0.23,3,240,110.88,202
clean,clean,1,2,3,0.306071,377,51,292.33,0,4,1.16,4.67,1704,741.39,1347
buggy,buggy,1,2,3,1.42841,18,6,446.33,1,5,37.48,6.33,1705,741.57,1348
clean,clean,1,1,1,0,0,6,171,0,10,3.75,49,47,33.68,11
buggy,buggy,1,1,1,0,1,1,198,0,1,18.89,1,241,111.59,0
buggy,buggy,1,1,1,0,1,1,1934,0,22,2.62,285,1706,741.56,79
clean,clean,1,1,1,0,12,8,293,0,1,2.09,1,1707,742.56,1349
buggy,buggy,2,5,10,2.68784,729,0,0,0,0,0,0,1708,743.4,1537
clean,clean,1,2,4,1.36756,411,0,0,0,0,0,0,1709,744.29,1351
clean,clean,1,1,4,0.944507,60,91,247,0,6,6.09,3.25,1710,745.26,1352
clean,clean,2,7,8,1.65982,489,52,321.63,0,13,39.31,25.75,839,309.64,722
clean,clean,3,3,4,1.69394,23,6,302,1,12,62.86,19,851,474.66,520
clean,clean,1,1,1,0,27,3,176,0,1,0.52,1,1711,745.73,1353
clean,clean,1,1,1,0,86,20,200,0,1,0.03,2,1712,746.7,1354
clean,clean,3,8,11,1.89708,966,9,325.91,1,23,13.47,30,42,33.87,39
buggy,buggy,1,7,15,3.23735,849,0,0,0,0,0,0,43,34.86,0
clean,clean,1,2,2,0.291818,33,6,123,0,6,116.57,6.5,256,148.39,69
clean,clean,1,6,9,2.46375,210,210,40.22,0,1,0.01,0.11,44,35.86,1
clean,clean,1,1,1,0,0,5,209,0,7,0.01,12,257,149.38,70
buggy,buggy,1,1,1,0,1,1,326,0,6,0.55,26,852,475.16,33
clean,clean,2,2,2,0.985228,25,3,1014,0,22,17.1,145.5,853,476.03,249
buggy,buggy,5,16,16,3.93618,44,48,240.25,0,22,25.97,21.56,258,150.3,166
buggy,buggy,1,1,1,0,8,6,1000,0,9,1.2,126,177,116.45,89
clean,clean,1,3,3,0.704329,99,10,553,0,9,13.24,23.67,840,310.14,668
clean,clean,2,6,10,2.54367,464,10,43.1,0,1,0.49,0.4,1713,746.43,1543
buggy,buggy,1,1,1,0,19,4,1420,0,18,11.53,201,48,34.53,12
buggy,buggy,1,1,1,0,5,3,245,0,1,6.2,1,178,117.34,90
clean,clean,1,1,1,0,1,3,1435,0,18,0.04,202,854,476.38,189
clean,clean,2,4,4,1.99108,0,18,114.5,0,14,7.66,14.5,58,43.23,35
clean,clean,1,1,1,0,11,3,1946,0,22,0.82,289,855,477.25,190
clean,clean,1,1,1,0,1,0,1266,0,8,31.97,54,1714,747.07,1356
clean,clean,1,1,2,0.351955,82,99,1065,0,9,57.52,67.5,1715,748.07,1357
clean,clean,1,1,1,0,25,27,498,0,10,26.74,96,1716,749.07,1358
buggy,buggy,1,2,5,1.42073,145,88,295.6,1,9,91.3,5.2,1717,750.07,1359
buggy,buggy,1,1,1,0,2,2,218,0,5,2,13,1718,751.06,1360
clean,clean,2,3,3,0.872847,17,69,131.33,0,10,14.6,11.67,1719,752.06,1550
clean,clean,1,1,1,0,6,0,74,0,3,31.26,7,1720,753.06,190
clean,clean,1,1,1,0,6,0,1954,0,22,0.16,290,1721,754.05,80
clean,clean,3,21,42,4.58498,221,112,178.12,0,22,10.89,9.83,1722,754.99,1670
clean,clean,1,1,1,0,2,0,692,0,5,0.07,36,6,5.88,5
clean,clean,1,1,1,0,12,7,244,1,3,0.31,3,49,35.48,28
clean,clean,1,27,27,4.47562,44,494,94.48,0,16,41.92,3.7,49,40.23,35
buggy,buggy,1,2,4,1.97095,10,10,102,0,4,11.45,3,264,100.06,153
clean,clean,1,1,3,0.834347,31,3,54.33,0,1,0.58,0.67,1723,755.48,1363
clean,clean,1,1,1,0,37,0,0,0,0,0,0,45,36.68,2
clean,clean,1,3,3,1.29974,8,10,53.33,0,1,2.12,0.67,46,37.68,3
buggy,buggy,1,3,3,1.06128,13,3,47.67,0,1,0.73,1,47,38.68,4
clean,clean,1,1,1,0,1,1,1433,0,18,1.19,203,179,118.07,26
clean,clean,1,1,1,0,1,1,303,0,1,0.84,5,1724,756.07,1364
clean,clean,2,2,2,0.413817,7,5,57,0,3,26.73,4.5,1725,757.07,310
buggy,buggy,1,1,1,0,2,3,397,1,1,17.19,5,7,6.87,6
clean,clean,1,1,1,0,13,9,694,0,6,0.94,37,841,310.41,669
clean,clean,1,1,1,0,7,0,143,0,8,1.09,25,842,311.4,56
buggy,buggy,4,9,11,2.86403,106,5,102.27,0,22,138.06,28.36,856,477.07,228
clean,clean,1,1,1,0,6,3,698,0,6,0.57,38,843,312.17,670
clean,clean,1,2,2,0.222285,47,9,298,0,10,31.89,30.5,1726,757.23,1365
clean,clean,1,1,1,0,5,5,134,0,4,1.55,5,857,477.31,368
clean,clean,1,1,1,0,20,20,134,0,4,0,6,858,478.31,369
buggy,buggy,1,1,1,0,1,5,134,0,4,0.01,7,859,479.3,370
clean,clean,1,2,2,1,62,14,30.5,0,1,3.19,1.5,860,480.21,371
clean,clean,1,79,79,6.30312,1119,1118,92.39,0,20,50.44,2.52,861,481.2,62
clean,clean,1,2,6,2.22561,16,18,93.17,0,6,118.85,1.83,862,482.15,372
buggy,buggy,1,1,1,0,1,1,266,0,5,112.7,7,863,483.15,373
clean,clean,1,1,1,0,0,2,38,0,1,1.07,1,864,484.12,6
clean,clean,1,1,1,0,7,5,311,0,6,316.29,44,865,485.1,30
clean,clean,3,15,19,3.09811,782,506,117.68,0,20,39.1,11.63,265,100.7,181
buggy,buggy,1,8,16,3.09698,1261,240,89.88,0,8,6.32,2.13,135,93.45,96
clean,clean,0,0,0,0,0,0,0,0,0,0,0,136,94.45,0
clean,clean,1,1,1,0,1,1,1433,0,18,2.95,204,866,484.65,192
clean,clean,1,1,1,0,2,4,33,0,3,121.82,5,867,485.56,374
clean,clean,2,25,34,3.16758,1032,25,65.5,0,16,64.74,3.68,868,486.53,438
clean,clean,1,5,11,2.85458,0,1001,91,0,7,0.01,1.64,869,487.52,376
clean,clean,1,8,9,2.40453,193,160,538.89,1,13,57.72,30.78,1727,755.53,1366
clean,clean,2,5,7,1.13009,212,175,73.43,1,11,7.92,4.86,266,101.54,177
clean,clean,1,1,1,0,2,2,429,1,10,30.17,47,267,102.54,8
clean,clean,1,1,1,0,2,2,1433,0,18,0.73,205,50,36.16,13
clean,clean,6,12,13,2.09192,16,16,134.15,0,18,92.36,7.54,870,487.7,702
clean,clean,1,1,1,0,0,0,28,0,1,0.9,1,871,488.7,378
clean,clean,1,1,1,0,3,3,117,0,7,30.61,20,872,489.7,379
clean,clean,3,17,17,3.83496,24,24,232.18,0,22,31.66,19.59,873,490.7,648
clean,clean,1,2,2,0.591673,11,3,284.5,0,7,52.43,7,874,491.68,35
clean,clean,1,1,1,0,2,2,280,0,8,122.69,19,875,492.68,76
buggy,buggy,3,13,12,2.90005,9,10,223.42,0,18,79.87,10.58,876,493.68,482
clean,clean,1,1,1,0,2,2,76,0,11,122.65,31,877,494.67,194
clean,clean,1,5,11,3.22371,56,56,27.09,0,4,15.37,0.45,880,497.51,37
clean,clean,1,1,1,0,9,0,1960,0,22,0.23,292,881,498.49,195
clean,clean,1,21,28,3.36952,77,110,144.82,0,14,17.39,2.89,882,499.49,38
buggy,buggy,1,10,15,0,0,0,296.33,0,16,55.17,7.67,883,500.46,384
clean,clean,0,0,0,0,0,0,0,0,0,0,0,884,501.35,0
clean,clean,1,1,1,0,4,1,553,0,12,5.48,113,88,58.03,70
clean,clean,3,21,31,4.3879,840,70,159.68,0,26,20.91,14.13,8,7.77,9
clean,clean,1,10,18,3.73111,1292,0,0,0,0,0,0,9,8.77,0
buggy,buggy,1,1,1,0,4,0,1116,0,5,0.49,12,137,95.06,97
buggy,buggy,1,1,1,0,4,0,179,0,1,7,1,48,39.24,5
clean,clean,1,1,1,0,3,10,294,0,10,11.98,40,180,117.98,91
buggy,buggy,1,1,1,0,12,5,253,0,4,123.63,9,89,59,71
clean,clean,2,2,2,0.203074,63,0,11.5,0,2,52.99,1,10,9.77,11
clean,clean,1,1,1,0,31,48,299,0,3,18.68,12,139,97.02,99
buggy,buggy,1,1,1,0,5,4,176,0,4,0.22,14,885,501.82,68
buggy,buggy,1,1,1,0,2,0,258,0,3,0.02,16,886,502.82,385
clean,clean,0,0,0,0,0,0,0,0,0,0,0,887,503.82,0
clean,clean,1,1,1,0,14,13,93,0,2,0.02,6,888,504.82,386
clean,clean,5,26,37,4.88808,56,102,198.78,0,25,70.87,12.35,889,505.82,814
clean,clean,1,1,1,0,237,233,260,0,3,0,17,890,506.82,388
clean,clean,1,1,1,0,0,4,264,0,3,0,18,891,507.82,389
clean,clean,1,2,2,0.977418,34,34,85,0,6,0.13,9,892,508.82,70
clean,clean,1,1,1,0,8,3,1980,0,23,0,295,893,509.82,197
clean,clean,1,1,1,0,102,103,177,0,4,0,15,894,510.82,71
buggy,buggy,1,1,1,0,0,4,176,0,4,0,16,895,511.82,72
buggy,buggy,1,1,1,0,3,0,260,0,3,0.04,19,11,10.76,9
clean,clean,1,4,4,2,4,0,142.5,0,9,3.2,11.75,896,512.76,390
clean,clean,1,1,1,0,7,6,205,0,1,36.07,1,897,513.75,391
clean,clean,1,1,1,0,13,15,263,0,4,0.03,20,898,514.75,392
clean,clean,0,0,0,0,0,0,0,0,0,0,0,899,515.74,0
clean,clean,1,4,11,3.37409,169,72,169.18,0,6,0.11,2.64,900,516.73,393
buggy,buggy,1,1,2,0.988111,28,11,171,0,3,10.08,6.5,901,517.73,394
buggy,buggy,1,1,10,3.27946,173,91,104.3,0,1,15.71,0.2,902,518.73,395
clean,clean,1,2,6,2.52336,97,5,33.5,0,5,35.29,2.17,903,519.73,396
clean,clean,1,2,4,0,19,0,6,0,2,10.78,1.25,904,520.57,397
clean,clean,1,1,11,2.16689,674,674,106.18,0,2,0.15,0.36,905,521.56,398
buggy,buggy,1,6,6,2.04723,28,33,177.33,0,7,7.48,5.67,140,97.95,100
clean,clean,1,1,1,0,0,10,258,0,4,0.01,22,141,98.95,101
clean,clean,2,6,6,2.1174,142,59,286.33,0,17,2.78,17.17,1728,754.31,312
clean,clean,1,6,9,2.47753,99,65,348.22,1,9,43.19,4.67,1729,755.3,1367
clean,clean,2,4,5,1.24352,43,14,217.6,1,9,17.61,9.4,51,37.01,41
clean,clean,1,1,1,0,39,0,0,0,0,0,0,52,38.01,30
buggy,buggy,1,1,1,0,2,2,548,0,6,0.92,27,142,99.8,102
clean,clean,1,1,1,0,2,1,347,1,3,0.28,17,53,38.98,31
buggy,buggy,2,2,2,0.954434,6,10,1053.5,0,23,1.94,151.5,12,11.71,11
clean,clean,1,5,11,3.10187,2206,0,0,0,0,0,0,54,39.91,32
clean,clean,1,1,1,0,6,2,332,1,2,11.91,5,13,12.7,11
clean,clean,2,4,7,2.10584,36,61,218.71,1,11,13.47,8.14,55,40.86,46
buggy,buggy,1,1,1,0,4,4,365,0,3,12.42,9,201,81.74,113
clean,clean,1,1,1,0,1,1,258,0,2,36.58,3,202,82.74,114
clean,clean,1,1,1,0,1,1,98,0,1,41.67,1,56,41.85,34
buggy,buggy,1,1,1,0,1,1,253,0,1,3.32,2,50,40.49,36
clean,clean,2,2,2,0.599314,30,18,227,1,5,2.84,13.5,14,13.67,16
clean,clean,1,1,1,0,6,1,221,0,6,126.56,15,1730,753.55,1368
clean,clean,1,1,1,0,13,8,88,0,11,2.73,39,1731,754.33,194
clean,clean,1,1,1,0,10,6,72,1,3,3.01,6,15,14.65,13
clean,clean,1,1,1,0,6,1,252,1,3,32.39,8,1732,755.02,1369
clean,clean,5,44,57,4.28288,2055,228,197.88,1,27,10.26,11.63,1733,755.62,1766
buggy,buggy,1,1,2,0.766442,93,86,627,0,6,13.23,22.5,844,309.94,671
clean,clean,2,4,6,0.951994,9,8,354.67,0,23,0.09,50,1734,756.33,83
clean,clean,2,4,4,1.97848,12,14,590.5,0,23,3.55,80,906,518.78,271
clean,clean,1,1,1,0,1,1,2001,0,23,0,300,907,519.78,199
buggy,buggy,1,1,1,0,21,15,336,1,3,2.17,6,16,15.61,14
clean,clean,1,1,1,0,1,1,667,1,6,1.38,16,1735,756.11,1371
clean,clean,1,2,3,1.21359,55,22,222.33,0,4,19.43,5.67,17,16.56,15
clean,clean,1,1,1,0,2,8,198,0,2,13.59,2,18,17.56,1
clean,clean,1,1,1,0,79,52,218,0,5,11.5,14,1736,756.48,1372
clean,clean,2,6,9,2.2254,260,13,149.11,0,15,13.7,12.22,845,310.16,729
clean,clean,2,5,5,2.12193,10,10,132.2,1,13,23.16,14.4,57,42.56,49
buggy,buggy,1,1,1,0,59,32,192,0,2,20.41,9,1737,757.28,1373
